Accuracy,Kappa,size,decay,Resample
0.5437158469945356,0.0642968678240104,1,0.001,Training1000
0.5300546448087432,0.02472578546198187,2,0.001,Training1000
0.5300546448087432,0.028518518518518478,3,0.001,Training1000
0.546448087431694,0.06707204717154969,4,0.001,Training1000
0.5245901639344263,0.019401330376940168,5,0.001,Training1000
0.5273224043715847,0.019329058637673088,1,0.01,Training1000
0.5382513661202186,0.046257748172818934,2,0.01,Training1000
0.5409836065573771,0.061538461538461514,3,0.01,Training1000
0.5273224043715847,0.02960919540229899,4,0.01,Training1000
0.5218579234972678,0.017306453097670964,5,0.01,Training1000
0.5409836065573771,0.042600896860986635,1,0.1,Training1000
0.5409836065573771,0.04634282523729756,2,0.1,Training1000
0.5409836065573771,0.04740658114891255,3,0.1,Training1000
0.5409836065573771,0.04740658114891255,4,0.1,Training1000
0.5409836065573771,0.04740658114891255,5,0.1,Training1000
0.5245901639344263,0,1,1,Training1000
0.5245901639344263,0,2,1,Training1000
0.5245901639344263,0,3,1,Training1000
0.5245901639344263,0,4,1,Training1000
0.5245901639344263,0,5,1,Training1000
0.5382513661202186,0.051289916868615656,1,0.001,Training1001
0.5300546448087432,0.022150424057908038,2,0.001,Training1001
0.5437158469945356,0.05905354228886357,3,0.001,Training1001
0.5163934426229508,-0.007214154668988574,4,0.001,Training1001
0.5546448087431693,0.07475417972021452,5,0.001,Training1001
0.5300546448087432,0.020933777100376482,1,0.01,Training1001
0.5300546448087432,0.026986923861634128,2,0.01,Training1001
0.5409836065573771,0.06179620983246373,3,0.01,Training1001
0.5136612021857924,-0.010704644885041458,4,0.01,Training1001
0.5245901639344263,0.019914432577179963,5,0.01,Training1001
0.5437158469945356,0.043743546418849144,1,0.1,Training1001
0.5437158469945356,0.043743546418849144,2,0.1,Training1001
0.5437158469945356,0.043743546418849144,3,0.1,Training1001
0.5437158469945356,0.043743546418849144,4,0.1,Training1001
0.5382513661202186,0.03711198978797596,5,0.1,Training1001
0.5273224043715847,0,1,1,Training1001
0.5273224043715847,0,2,1,Training1001
0.5273224043715847,0,3,1,Training1001
0.5273224043715847,0,4,1,Training1001
0.5273224043715847,0,5,1,Training1001
0.5081967213114754,0.03322376144634887,1,0.001,Training1002
0.5382513661202186,0.03597144727408753,2,0.001,Training1002
0.5273224043715847,0.026505950001537385,3,0.001,Training1002
0.5519125683060109,0.05705667965313538,4,0.001,Training1002
0.48360655737704916,-0.05425671350626398,5,0.001,Training1002
0.546448087431694,0.04949937421777233,1,0.01,Training1002
0.5355191256830601,0.0358869468203794,2,0.01,Training1002
0.5409836065573771,0.0581459469395259,3,0.01,Training1002
0.5409836065573771,0.06256860592755227,4,0.01,Training1002
0.5273224043715847,0.01652635829890348,5,0.01,Training1002
0.5519125683060109,0.05705667965313538,1,0.1,Training1002
0.5491803278688525,0.05097903636420788,2,0.1,Training1002
0.546448087431694,0.04489718920958322,3,0.1,Training1002
0.5519125683060109,0.05705667965313538,4,0.1,Training1002
0.546448087431694,0.04489718920958322,5,0.1,Training1002
0.5300546448087432,0,1,1,Training1002
0.5300546448087432,0,2,1,Training1002
0.5300546448087432,0,3,1,Training1002
0.5300546448087432,0,4,1,Training1002
0.5300546448087432,0,5,1,Training1002
0.5437158469945356,0.060268749423449425,1,0.001,Training1003
0.5355191256830601,0.03059952636171007,2,0.001,Training1003
0.5491803278688525,0.06456209919762079,3,0.001,Training1003
0.5519125683060109,0.06417212347988767,4,0.001,Training1003
0.5,-0.022845972939128406,5,0.001,Training1003
0.5437158469945356,0.04278510351739914,1,0.01,Training1003
0.546448087431694,0.0643134355941601,2,0.01,Training1003
0.5573770491803278,0.09055770292655968,3,0.01,Training1003
0.5382513661202186,0.04578692419240395,4,0.01,Training1003
0.5327868852459017,0.026565464895635778,5,0.01,Training1003
0.5546448087431693,0.06313012343352487,1,0.1,Training1003
0.5491803278688525,0.05878869112558844,2,0.1,Training1003
0.5519125683060109,0.05770800627943472,3,0.1,Training1003
0.546448087431694,0.04555737086841774,4,0.1,Training1003
0.546448087431694,0.04555737086841774,5,0.1,Training1003
0.5300546448087432,0,1,1,Training1003
0.5300546448087432,0,2,1,Training1003
0.5300546448087432,0,3,1,Training1003
0.5300546448087432,0,4,1,Training1003
0.5300546448087432,0,5,1,Training1003
0.5573770491803278,0.062072892938496535,1,0.001,Training1004
0.5491803278688525,0.047025406343695696,2,0.001,Training1004
0.5300546448087432,0.025872740777420182,3,0.001,Training1004
0.5819672131147541,0.15110814662098637,4,0.001,Training1004
0.5273224043715847,0.021874131059412286,5,0.001,Training1004
0.5546448087431693,0.06699821713427778,1,0.01,Training1004
0.5437158469945356,0.054512266806917675,2,0.01,Training1004
0.5573770491803278,0.09422548120989906,3,0.01,Training1004
0.5519125683060109,0.07746219107340434,4,0.01,Training1004
0.5245901639344263,0.01855504869929739,5,0.01,Training1004
0.5491803278688525,0.05228963309375101,1,0.1,Training1004
0.5519125683060109,0.0583584337349395,2,0.1,Training1004
0.5519125683060109,0.0583584337349395,3,0.1,Training1004
0.5519125683060109,0.0583584337349395,4,0.1,Training1004
0.5519125683060109,0.0583584337349395,5,0.1,Training1004
0.5300546448087432,0,1,1,Training1004
0.5300546448087432,0,2,1,Training1004
0.5300546448087432,0,3,1,Training1004
0.5300546448087432,0,4,1,Training1004
0.5300546448087432,0,5,1,Training1004
0.5573770491803278,0.062072892938496535,1,0.001,Training1005
0.5683060109289617,0.11361128142244009,2,0.001,Training1005
0.5819672131147541,0.14195090558058274,3,0.001,Training1005
0.5546448087431693,0.07778636574431895,4,0.001,Training1005
0.5409836065573771,0.051754981185614786,5,0.001,Training1005
0.5546448087431693,0.06828049351866293,1,0.01,Training1005
0.5437158469945356,0.055797571600704386,2,0.01,Training1005
0.5409836065573771,0.054961268904463186,3,0.01,Training1005
0.5601092896174863,0.0976939331761246,4,0.01,Training1005
0.5273224043715847,0.02847761377236319,5,0.01,Training1005
0.5491803278688525,0.0535966149506347,1,0.1,Training1005
0.5573770491803278,0.07112420102769765,2,0.1,Training1005
0.5546448087431693,0.0708345014484625,3,0.1,Training1005
0.5628415300546448,0.08322374600789012,4,0.1,Training1005
0.5601092896174863,0.07653972731546758,5,0.1,Training1005
0.5300546448087432,0,1,1,Training1005
0.5300546448087432,0,2,1,Training1005
0.5300546448087432,0,3,1,Training1005
0.5300546448087432,0,4,1,Training1005
0.5300546448087432,0,5,1,Training1005
0.5546448087431693,0.08339735119687783,1,0.001,Training1006
0.5546448087431693,0.0821563740422781,2,0.001,Training1006
0.5655737704918032,0.10041737517390623,3,0.001,Training1006
0.5382513661202186,0.05158085191204892,4,0.001,Training1006
0.5437158469945356,0.06280474715569333,5,0.001,Training1006
0.5601092896174863,0.08034460155445257,1,0.01,Training1006
0.5519125683060109,0.07307430971647405,2,0.01,Training1006
0.5519125683060109,0.07244405983434275,3,0.01,Training1006
0.5437158469945356,0.05515535631473189,4,0.01,Training1006
0.5409836065573771,0.05623772102161107,5,0.01,Training1006
0.5601092896174863,0.077811512097405,1,0.1,Training1006
0.5628415300546448,0.08322374600789012,2,0.1,Training1006
0.5655737704918032,0.08926726971110184,3,0.1,Training1006
0.5655737704918032,0.08926726971110184,4,0.1,Training1006
0.5628415300546448,0.08322374600789012,5,0.1,Training1006
0.5300546448087432,0,1,1,Training1006
0.5300546448087432,0,2,1,Training1006
0.5300546448087432,0,3,1,Training1006
0.5300546448087432,0,4,1,Training1006
0.5300546448087432,0,5,1,Training1006
0.5573770491803278,0.08871265215787502,1,0.001,Training1007
0.5765027322404371,0.12838398426696976,2,0.001,Training1007
0.5437158469945356,0.049335863377609236,3,0.001,Training1007
0.5628415300546448,0.09198040066985035,4,0.001,Training1007
0.505464480874317,-0.004914899426595095,5,0.001,Training1007
0.5546448087431693,0.06892031089053272,1,0.01,Training1007
0.5546448087431693,0.07966431149918232,2,0.01,Training1007
0.5491803278688525,0.07277752187931844,3,0.01,Training1007
0.546448087431694,0.0585719598363705,4,0.01,Training1007
0.5218579234972678,0.013917541644856295,5,0.01,Training1007
0.5546448087431693,0.06571240642716183,1,0.1,Training1007
0.5655737704918032,0.09487666034155592,2,0.1,Training1007
0.5628415300546448,0.08322374600789012,3,0.1,Training1007
0.5601092896174863,0.07717605788204329,4,0.1,Training1007
0.5655737704918032,0.08926726971110184,5,0.1,Training1007
0.5300546448087432,0,1,1,Training1007
0.5300546448087432,0,2,1,Training1007
0.5300546448087432,0,3,1,Training1007
0.5300546448087432,0,4,1,Training1007
0.5300546448087432,0,5,1,Training1007
0.5491803278688525,0.07340350446497072,1,0.001,Training1008
0.5573770491803278,0.07937395192845148,2,0.001,Training1008
0.5655737704918032,0.09549566352699787,3,0.001,Training1008
0.5245901639344263,0.003692115143929976,4,0.001,Training1008
0.5601092896174863,0.08661685835632572,5,0.001,Training1008
0.5519125683060109,0.0680081982485558,1,0.01,Training1008
0.546448087431694,0.06304361236197653,2,0.01,Training1008
0.5573770491803278,0.10147299509001627,3,0.01,Training1008
0.5327868852459017,0.037108834117972916,4,0.01,Training1008
0.5245901639344263,0.026476702947291115,5,0.01,Training1008
0.5601092896174863,0.079079798705966875,1,0.1,Training1008
0.5655737704918032,0.09051980120651389,2,0.1,Training1008
0.5655737704918032,0.09051980120651389,3,0.1,Training1008
0.5655737704918032,0.09051980120651389,4,0.1,Training1008
0.5519125683060109,0.06737103791174637,5,0.1,Training1008
0.5300546448087432,0,1,1,Training1008
0.5300546448087432,0,2,1,Training1008
0.5300546448087432,0,3,1,Training1008
0.5300546448087432,0,4,1,Training1008
0.5300546448087432,0,5,1,Training1008
0.5573770491803278,0.06272526082832737,1,0.001,Training1009
0.5710382513661202,0.12070390206579953,2,0.001,Training1009
0.5491803278688525,0.07089448906120198,3,0.001,Training1009
0.5327868852459017,0.043583239096549514,4,0.001,Training1009
0.5300546448087432,0.048546037119883916,5,0.001,Training1009
0.5546448087431693,0.07463936714751034,1,0.01,Training1009
0.5519125683060109,0.07808564231738013,2,0.01,Training1009
0.5601092896174863,0.09033931272963029,3,0.01,Training1009
0.5683060109289617,0.11895910780669129,4,0.01,Training1009
0.5409836065573771,0.06632653061224493,5,0.01,Training1009
0.5601092896174863,0.07971263470248303,1,0.1,Training1009
0.5628415300546448,0.0857428339474177,2,0.1,Training1009
0.5573770491803278,0.07937395192845148,3,0.1,Training1009
0.5546448087431693,0.07400738832148489,4,0.1,Training1009
0.5655737704918032,0.09114477588630313,5,0.1,Training1009
0.5300546448087432,0,1,1,Training1009
0.5300546448087432,0,2,1,Training1009
0.5300546448087432,0,3,1,Training1009
0.5300546448087432,0,4,1,Training1009
0.5300546448087432,0,5,1,Training1009
0.5601092896174863,0.06350719938972049,1,0.001,Training1010
0.5655737704918032,0.09448230790775827,2,0.001,Training1010
0.5491803278688525,0.08224674022066203,3,0.001,Training1010
0.5437158469945356,0.0474988312295466,4,0.001,Training1010
0.5273224043715847,0.010316046140860775,5,0.001,Training1010
0.5655737704918032,0.09040607708899907,1,0.01,Training1010
0.5491803278688525,0.06727828746177371,2,0.01,Training1010
0.5601092896174863,0.09923874163074374,3,0.01,Training1010
0.5628415300546448,0.0998801069814625,4,0.01,Training1010
0.5601092896174863,0.10318692356862373,5,0.01,Training1010
0.5683060109289617,0.09306483485461553,1,0.1,Training1010
0.5683060109289617,0.09306483485461553,2,0.1,Training1010
0.5546448087431693,0.0703132304815333,3,0.1,Training1010
0.5683060109289617,0.09306483485461553,4,0.1,Training1010
0.5710382513661202,0.09914401279277582,5,0.1,Training1010
0.5327868852459017,0,1,1,Training1010
0.5327868852459017,0,2,1,Training1010
0.5327868852459017,0,3,1,Training1010
0.5327868852459017,0,4,1,Training1010
0.5327868852459017,0,5,1,Training1010
0.5628415300546448,0.06429758404704072,1,0.001,Training1011
0.5683060109289617,0.09700187382885693,2,0.001,Training1011
0.5273224043715847,0.03821733450800504,3,0.001,Training1011
0.5655737704918032,0.10330056396190937,4,0.001,Training1011
0.5273224043715847,0.029787625264319148,5,0.001,Training1011
0.5655737704918032,0.08721021426106587,1,0.01,Training1011
0.5573770491803278,0.08454792490118572,2,0.01,Training1011
0.5628415300546448,0.09073970560834715,3,0.01,Training1011
0.5300546448087432,0.019378154402143435,4,0.01,Training1011
0.5519125683060109,0.07100848139664441,5,0.01,Training1011
0.5683060109289617,0.08960957178841306,1,0.1,Training1011
0.5710382513661202,0.09500110246637458,2,0.1,Training1011
0.5710382513661202,0.09500110246637458,3,0.1,Training1011
0.5710382513661202,0.09500110246637458,4,0.1,Training1011
0.5710382513661202,0.09500110246637458,5,0.1,Training1011
0.5355191256830601,0,1,1,Training1011
0.5355191256830601,0,2,1,Training1011
0.5355191256830601,0,3,1,Training1011
0.5355191256830601,0,4,1,Training1011
0.5355191256830601,0,5,1,Training1011
0.5628415300546448,0.06429758404704072,1,0.001,Training1012
0.5546448087431693,0.06653105930214341,2,0.001,Training1012
0.5437158469945356,0.04517761739619456,3,0.001,Training1012
0.5628415300546448,0.0936668111186775,4,0.001,Training1012
0.5683060109289617,0.11496786042240574,5,0.001,Training1012
0.5737704918032787,0.10552700839704221,1,0.01,Training1012
0.5519125683060109,0.0680081982485558,2,0.01,Training1012
0.5683060109289617,0.11426295797083688,3,0.01,Training1012
0.5491803278688525,0.07905572330496843,4,0.01,Training1012
0.5409836065573771,0.05745294009442642,5,0.01,Training1012
0.5655737704918032,0.08347245409015004,1,0.1,Training1012
0.5710382513661202,0.09500110246637458,2,0.1,Training1012
0.5683060109289617,0.08960957178841306,3,0.1,Training1012
0.5683060109289617,0.08960957178841306,4,0.1,Training1012
0.5710382513661202,0.09500110246637458,5,0.1,Training1012
0.5355191256830601,0,1,1,Training1012
0.5355191256830601,0,2,1,Training1012
0.5355191256830601,0,3,1,Training1012
0.5355191256830601,0,4,1,Training1012
0.5355191256830601,0,5,1,Training1012
0.5601092896174863,0.05884044082414938,1,0.001,Training1013
0.5655737704918032,0.09896881677143644,2,0.001,Training1013
0.5491803278688525,0.05737832859863276,3,0.001,Training1013
0.5601092896174863,0.08468731554257655,4,0.001,Training1013
0.5382513661202186,0.06193697109405814,5,0.001,Training1013
0.5546448087431693,0.06653105930214341,1,0.01,Training1013
0.5573770491803278,0.08085818813170444,2,0.01,Training1013
0.5628415300546448,0.10518916936617552,3,0.01,Training1013
0.5601092896174863,0.09274826789838317,4,0.01,Training1013
0.5683060109289617,0.11567164179104475,5,0.01,Training1013
0.5710382513661202,0.09351632749645035,1,0.1,Training1013
0.5737704918032787,0.1003970504821326,2,0.1,Training1013
0.5737704918032787,0.1003970504821326,3,0.1,Training1013
0.5737704918032787,0.1003970504821326,4,0.1,Training1013
0.5765027322404371,0.1057974212666687,5,0.1,Training1013
0.5355191256830601,0,1,1,Training1013
0.5355191256830601,0,2,1,Training1013
0.5355191256830601,0,3,1,Training1013
0.5355191256830601,0,4,1,Training1013
0.5355191256830601,0,5,1,Training1013
0.5601092896174863,0.05884044082414938,1,0.001,Training1014
0.5683060109289617,0.09700187382885693,2,0.001,Training1014
0.5737704918032787,0.10843222985633977,3,0.001,Training1014
0.5683060109289617,0.12471998546951613,4,0.001,Training1014
0.5601092896174863,0.08836907082521096,5,0.001,Training1014
0.5710382513661202,0.10089187920513203,1,0.01,Training1014
0.5573770491803278,0.08528232027152098,2,0.01,Training1014
0.5573770491803278,0.08820815648643646,3,0.01,Training1014
0.5628415300546448,0.100902782042621,4,0.01,Training1014
0.5382513661202186,0.04842927909910472,5,0.01,Training1014
0.5683060109289617,0.08960957178841306,1,0.1,Training1014
0.5710382513661202,0.09574166745349817,2,0.1,Training1014
0.5710382513661202,0.09574166745349817,3,0.1,Training1014
0.5710382513661202,0.09574166745349817,4,0.1,Training1014
0.5710382513661202,0.09574166745349817,5,0.1,Training1014
0.5355191256830601,0,1,1,Training1014
0.5355191256830601,0,2,1,Training1014
0.5355191256830601,0,3,1,Training1014
0.5355191256830601,0,4,1,Training1014
0.5355191256830601,0,5,1,Training1014
0.5519125683060109,0.07250139069163714,1,0.001,Training1015
0.5710382513661202,0.10380860288842428,2,0.001,Training1015
0.5273224043715847,0.03973429585368079,3,0.001,Training1015
0.5409836065573771,0.06119457676804704,4,0.001,Training1015
0.5355191256830601,0.028419737663960148,5,0.001,Training1015
0.5710382513661202,0.1001597293996053,1,0.01,Training1015
0.5573770491803278,0.08085818813170444,2,0.01,Training1015
0.5601092896174863,0.08542604376843065,3,0.01,Training1015
0.5382513661202186,0.043839851599938244,4,0.01,Training1015
0.5409836065573771,0.058203651513295075,5,0.01,Training1015
0.5710382513661202,0.09500110246637458,1,0.1,Training1015
0.5710382513661202,0.09574166745349817,2,0.1,Training1015
0.5710382513661202,0.09574166745349817,3,0.1,Training1015
0.5710382513661202,0.09574166745349817,4,0.1,Training1015
0.5710382513661202,0.09574166745349817,5,0.1,Training1015
0.5355191256830601,0,1,1,Training1015
0.5355191256830601,0,2,1,Training1015
0.5355191256830601,0,3,1,Training1015
0.5355191256830601,0,4,1,Training1015
0.5355191256830601,0,5,1,Training1015
0.5409836065573771,0.04681589880324924,1,0.001,Training1016
0.5655737704918032,0.09165548028595502,2,0.001,Training1016
0.5737704918032787,0.10843222985633977,3,0.001,Training1016
0.505464480874317,-0.044197850004728735,4,0.001,Training1016
0.5655737704918032,0.09969367864104686,5,0.001,Training1016
0.5710382513661202,0.09942638623326941,1,0.01,Training1016
0.5683060109289617,0.10929702421292575,2,0.01,Training1016
0.5737704918032787,0.1296341463414634,3,0.01,Training1016
0.5409836065573771,0.0452766908887647,4,0.01,Training1016
0.546448087431694,0.05050947052572361,5,0.01,Training1016
0.5765027322404371,0.1057974212666687,1,0.1,Training1016
